"category","item","why_it_matters","owner","status","approval_needed","proof_or_next_gate"
"changed_work_line","AI / Codex 作業系統","v1.2 turns weekly map into a decision dashboard instead of only a baseline map.","Codex","done","no","weekly/capability-dashboard-v1.2.json"
"changed_work_line","專案規劃與夥伴帶領","Dashboard separates partner-ready, Codex-ready, automation-ready, and private-only work.","Kevin + Codex","done","no","weekly/capability-dashboard-actions-v1.2.csv"
"changed_work_line","治理、風險與邊界","Blocked/private-only items are visible before anyone tries to delegate or publish them.","Codex + Kevin","done","no","docs/governance-expansion-review-card-v1.2.md"
"partner_ready","Public-safe source collection","A partner can gather approved public sources and mark dates/missing fields.","Partner","candidate","no","Use source-card template next."
"partner_ready","First-draft public summaries","A partner can write first drafts from approved public materials for Kevin review.","Partner","candidate","no","Needs review rubric."
"partner_ready","Checklist conversion","A partner can convert public-safe briefs into review checklists.","Partner","candidate","no","Use v1.0 content/research trial pattern."
"codex_ready","Work-line table update","Codex can update CSV/JSON from Kevin-approved public-safe changes.","Codex","ready","no","Run link and redaction checks."
"codex_ready","Weekly note draft","Codex can draft demand/current spec/future outlook notes.","Codex","ready","no","Kevin reviews before publish."
"codex_ready","Public page packaging","Codex can package SVG, HTML, README, logs, and production checks.","Codex","ready","yes","Approval before push/deploy."
"automation_candidate","Weekly dashboard draft","Automation can propose dashboard changes and no-op when unchanged.","Automation","draft_only","yes","Suggested automation remains report-first."
"automation_candidate","No-op source check","Automation can check safe repo sources and report unchanged state.","Automation","candidate","no","No external writes."
"automation_candidate","Artifact link validation","Automation can verify public href/src targets exist before review.","Automation","candidate","no","Local check script or node snippet."
"automation_candidate","Redaction scan reminder","Automation can remind or run scanner before any public package change.","Automation","candidate","no","reports/public-redaction-scan-report.*.json"
"blocked_private_only","Real workforce-war-room import","Private repo boundary and data policy are required first.","Kevin","blocked","yes","Private implementation checklist"
"blocked_private_only","Real candidate assessment","Public repo is only for fictional or de-identified examples.","Kevin","blocked","yes","Private-only HR data policy"
"blocked_private_only","Sending trial tasks","External contact requires explicit approval in the active run.","Kevin","blocked","yes","Kevin-approved send list"
"blocked_private_only","Publishing de-identified real records","noindex is not privacy, so public export needs review.","Kevin","blocked","yes","G2 public export approval"
"next_week","Build social-worker tools line card","Clarifies the social-work-side product/tool map.","Kevin + Codex","candidate","no","v1.3 or next weekly refresh"
"next_week","Build citizen finance-life tools roadmap card","Clarifies general-public product and content direction.","Kevin + Codex","candidate","no","v1.3 or next weekly refresh"
"next_week","Draft private-only workforce import checklist","Prepares real data boundary without touching real data.","Kevin + Codex","candidate","yes","Private boundary review"
"next_week","Choose Notion or Google Sheets workboard path","Turns public templates into a private operating board if approved.","Kevin","candidate","yes","Tool choice and data boundary"
"next_week","Create weekly no-op checkpoint template","Makes quiet weeks useful instead of forcing fake updates.","Codex","candidate","no","docs weekly template"
